productId^name^catIds
1347^FLYCO飞科电吹风FH6217(小功率 1000W功率 可折叠式 冷/热风 健康柔风护发 过热保险 波纹丝热量均衡功能)^222|621|521
2263^Kingston 金士顿 KVR1333D3N9/4G 台式机内存(DDR3 1333 4G 宽版窄版随机发货)^1057|818|652
3982^Fuhlen 富勒 M8眩光舞者时尚节能无线鼠标(草绿)(眩光.悦动.时尚炫舞鼠标 12个月免换电池 高精度光学寻迹引擎 超细微接收器10米传输距离)^1057|439|736
5917^朗文????外研社????新概念英语2:实践与进步(新版)(两种封面随机发放)^832|1101|921
6425^天堂伞三折自开自收超大晴雨伞 蓝色 3331E碰(一甩干)两种图案随机发放^933|659|442
6797^PHILIPS飞利浦HQ912/15两刀头充电式电动剃须刀^222|621|691
7446^Zippo 芝宝 打火机 可配套配件套装组合 (油133ml,火石,棉芯)^486|785|638
8006^Transcend 创见 microSDHC Class4 TF卡 32G^1057|268|902
8195^Kingston 金士顿 Class4 32G TF卡(micro SD)手机存储卡^1057|268|902
10948^Elizabeth Arden伊丽莎白雅顿第五大道喷式淡香水30ml(进)^916|416|553
12019^村上春树文集:挪威的森林^832|519|1
12510^三国演义^832|519|1
13316^Kingston 金士顿 DataTraveler 101 G2 32GB 优盘^1057|268|378
13329^Kingston 金士顿 8G microSDHC Class4 TF卡^1057|268|902
13543^蔡康永的说话之道^832|519|402
14103^SanDisk 闪迪 microSDXC Class10 64GB至尊高速移动存储卡 UHS-1制式 读写速度最高可达30MB/s^1057|268|902
15010^TP-LINK TL-WR842N 300M无线路由器^1057|390|815
15388^TOSHIBA 东芝 32G TF(microSDHC)存储卡(Class10)30MB/s 黑色^1057|268|902
17453^logitech 罗技 K120键盘(黑色 罗技经典超高性价比,独具防溅水设计,持久耐用,键盘支架设计合理)^1057|439|962
17952^tenda 腾达 W308R V2 300M无线覆盖王路由器(V1/V2版本随机发货)^1057|390|815
21604^Pride and Prejudice^832|476|923
21634^飞利浦 Philips SHP2000 头戴式耳机(入门HiFi不过百元)^1057|439|992
21641^Mentholatum曼秀雷敦天然植物润唇膏(植物佛手柑)4g (特卖)(新老包装更替中,随机发货)^916|451|558
21643^L'OREAL PARIS巴黎欧莱雅男士劲能醒肤露 8重功效50ml^916|502|352
24064^Kingston 金士顿 DataTraveler 101 G2 16GB 优盘^1057|268|378
24366^影响力(经典版):(风靡20年,最畅销社会心理学作品)^832|723|189
26554^Pride and Prejudice^832|476|923
26744^Canon 佳能 EF 50mm f/1.8 II 镜头^1128|31|59
26752^生活良品橄榄油精华美体乳400ml^916|722|767
27352^万历十五年(增订本)^832|723|221
28787^E-3LUE 宜博 眼镜蛇 黑色基础版 无侧键鼠标 游戏鼠标 CF鼠标 4键 1600DPI变速^1057|439|736
29738^SanDisk 闪迪 microSDHC Class10 32GB至尊高速移动存储卡 UHS-1制式 读写速度最高可达30MB/s^1057|268|902
32512^乐扣乐扣(lock&lock) 茶杯HPL934M^933|833|289
33736^谁动了我的奶酪?(纪念版)(全球2600万册纪念版)^67|564|172
33864^PNY 必恩威 纽约双子盘 甜心桃 16GB 优盘^1057|268|378
